semester,subject,ppts,pyqs,syllabus
Semester 1,Calculus and Linear Algebra,"Unit 1: Matrices|https://drive.google.com/file/d/1uYBgP-nZLvT3V-rNgVDYSpTlYPTHPciB/view?usp=sharing, Unit 2: Functions Of Several Variables|https://drive.google.com/file/d/1gs80NO1vh2ILWCXQkmP-QneV-tlZB3ZK/view?usp=sharing, Unit 3: Ordinary Differential Equations|https://drive.google.com/file/d/1tsu1CBgY1f-v1mId8BsX9jDE02V-ke2s/view?usp=sharing, Unit 4: Differential Calculus And Beta Gamma Functions|https://drive.google.com/file/d/1-M1dtGQNmJi3ivHp-dzMREOSaSkqfD6y/view?usp=sharing, Unit 5: Sequence And Series|https://drive.google.com/file/d/12YlVHhSYzRDiEcW7vpv2e86i0jNhpQmT/view?usp=sharing","2023_DEC|https://drive.google.com/file/d/17iNGOCVrgS2Wfr-ZjwmBTBrokn9gxmG9/view?usp=sharing, 2023_JAN|https://drive.google.com/file/d/1jJrlBbgy7aa7M06a5eXsy2n-aISBsS89/view?usp=sharing, 2024_NOV|https://drive.google.com/file/d/1kKwEqS_vYAD3MIi9QiqrtdVQQWvZAAYW/view?usp=sharing, MCQs (Unit 1-5)|https://drive.google.com/file/d/1GASD8arfnKUiQQBVtCi0unfo9LCiWh_e/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1RICUh3KaDc7DwGCkLl7O7g4PXTb4nC-G/view?usp=sharing"
Semester 1,Communicative English,"Active and Passive Voice|https://drive.google.com/file/d/1llMSzZaCbZOxqbWopTHlbvFsRnDleWa7/view?usp=sharing, Advertisement|https://drive.google.com/file/d/1e43sC6eSb8wMetfRzlejvLPtvdQt6Q3a/view?usp=sharing, Barriers to Communication|https://drive.google.com/file/d/1BixxKJrQhVXzH7y_wNHXZYIJy2_eEbXz/view?usp=sharing, Communication Skills|https://drive.google.com/file/d/1_DAfmIweRV81IzG2qSa14GvWTxQPRk6Q/view?usp=sharing, Communication|https://drive.google.com/file/d/1Y7p_aiGx-Fcl5iBlt1nxhoIBtyzlrwNm/view?usp=sharing, Conjunctions|https://drive.google.com/file/d/1RI1mc1fiGKEMDYYa9DbBdgY1O-WpTZzR/view?usp=sharing, Degrees of Comparison|https://drive.google.com/file/d/1JJjf1Ix9CXCeWDaZnlbxLQ8Pzlmx57OZ/view?usp=sharing, Direct and Indirect Speech|https://drive.google.com/file/d/1IkWSw7PAKVeg7gVpvunSuX4l5oHew_p-/view?usp=sharing, E-mail Writing|https://drive.google.com/file/d/1hcUA2tAw3lscpxuqpDo0h3DX3Fc2cl12/view?usp=sharing, Graduate Attributes, Learning and Employability Paul Hager|https://drive.google.com/file/d/1ULHLU2DxbEv29IDXBvrJICZ_s6c8NC_6/view?usp=sharing, Group Discussion|https://drive.google.com/file/d/1Hw5lqE_lqT_lzcHwpQlGaosT40KIyrHU/view?usp=sharing, Interpersonal Communication Skills|https://drive.google.com/file/d/1eY3HXYUjgfKoeZlyQCtRHQ5XIdb7ibjz/view?usp=sharing, Job Application|https://drive.google.com/file/d/1-FuJ1KPcwANp0xRfybiaPHfcvPoy_Jpv/view?usp=sharing, Letter Writing|https://drive.google.com/file/d/1Fvj3WTqlLfWvKYkiHcvn9GbKBmwSixDm/view?usp=sharing, Listening Skills|https://drive.google.com/file/d/1BGE2WOj8M7iFQLXCsXhDACVOgdEdy-46/view?usp=sharing, LSRW|https://drive.google.com/file/d/19B8U3YuVwS5tl3bAIcR-krc-aFl3H6Qb/view?usp=sharing, Mechanics of Writing|https://drive.google.com/file/d/16ak1dk3hVtIYkjPwRT4wAopd6OWRg2gF/view?usp=sharing, Minutes Template|https://drive.google.com/file/d/1ZPPp7RSKSh4aEfMhyQNrzx1C4nneiuPD/view?usp=sharing, Non-Verbal Communication|https://drive.google.com/file/d/1po4vUNsKcgFIqG22d8LEKk6vOvgfFK55/view?usp=sharing, Notice Template|https://drive.google.com/file/d/1VSaXQL0xk86xeXzFkvtPCWjVwCjlntLx/view?usp=sharing, Notice, Agenda and Minutes|https://drive.google.com/file/d/1_UA0wldlVP7kof1sjC8SWbdySdIditNz/view?usp=sharing, Online Communication|https://drive.google.com/file/d/1LFd1YCL7KDCoRHlbDZlKmQbNlY6sTBi2/view?usp=sharing, Plagiarism|https://drive.google.com/file/d/1ZRfRUtkgok5KKythepB3whxE4Zg_6Nt_/view?usp=sharing, Practical English Usage Michael Swan|https://drive.google.com/file/d/1KLnRFtte-1_plnln816PLmSZCAzE16hx/view?usp=sharing, Project Presentation|https://drive.google.com/file/d/1wB2w7_i0-QPfwbVbFqMkO4MSfPYgAqei/view?usp=sharing, Proposal Writing|https://drive.google.com/file/d/1Zh_rWIf0A3X7Y1WRHQ2C2vp34e9JzHvv/view?usp=sharing, Public Speaking|https://drive.google.com/file/d/1zsE4PJssyVPXDEqjIp2jJc9N09dTK6Q3/view?usp=sharing, Reading and Writing|https://drive.google.com/file/d/1CnnZZxdjylC_6kLH8trWPImpwG1oiCT_/view?usp=sharing, Report Writing|https://drive.google.com/file/d/1n-Vy5syBfIFKsuyDGiCsVDhD659UpRzu/view?usp=sharing, Subject-Verb Agreement|https://drive.google.com/file/d/1omECNW6VN3e7q_moXfsc1Evp-fxWn409/view?usp=sharing, Synchronus and Asynchronous Communication|https://drive.google.com/file/d/1Km4zFg3zomxlcGkmPMDqtrw_9Or7Kpcx/view?usp=sharing, Technical Writing|https://drive.google.com/file/d/1LQJOzOqwilx4922RcO0ftjs0yk2gVtT-/view?usp=sharing, Tense|https://drive.google.com/file/d/1tlavlHiiUjne9VQNuTmnq-spetyMh4T4/view?usp=sharing, Topic Outline|https://drive.google.com/file/d/18mapbStx2wW80KEXPFJUYL2sU5OrbBnc/view?usp=sharing, Transcoding|https://drive.google.com/file/d/1XDP10dxlUG9deyHS85wC3LBuX-12rpcW/view?usp=sharing, Work Ethics|https://drive.google.com/file/d/1WJqGY9QU3LIqDlQHRbxwkg1pfqiBqkPf/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1bz3-LpnP0EF36HJYNvI9Il-XbGLcRx0h/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1U_zKpvNa4LaosVn3xfA7_Xfh3Zp5_gDp/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1t8Xq-4voxjpv0tgP9Rjau1PInz_5LHFe/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1r4Hnc1v85h4EfKPAHKydce4i4T6HN7aD/view?usp=sharing"
Semester 1,Electrical and Electronics Engineering,"Manual|https://drive.google.com/file/d/1Nsl4QP5N6cOH-xH-m9aJ6TOuUYGXGupJ/view?usp=sharing, Unit 1: Electric Circuits|https://docs.google.com/presentation/d/1v2dglRB5RMtA5PyQ39qMOp0pudHT9KOK/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 2: Electronics|https://docs.google.com/presentation/d/1J0VF5a9GQehKrof9OJjFCJVUyaAk3My9/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 3: Machines And Drivess|https://docs.google.com/presentation/d/1BoKG5cQtJTsigIE_YmXr615i7p6N7KnF/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 4: Transducers And Sensors|https://docs.google.com/presentation/d/1teiWvs2Mx46KLKObpcfFrfG03PpmWzTc/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 5: Power Engineering|https://docs.google.com/presentation/d/1JXAM2hdR0PlkO37Jt3W_w9_suXE1ZhTT/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true","2022_JULY|https://drive.google.com/file/d/10BQbrg4iucO9IWVTlCBbG4Ph1kZ_a41v/view?usp=sharing, 2023_JAN|https://drive.google.com/file/d/1E9F7oifJiXq9mQl-1GDlQZ45olrby49z/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1eJMZsG3bSHA_Rqh0083dKdtHJfBA2jFl/view?usp=sharing, Important Questions|https://drive.google.com/file/d/1QHfy2oMxSXkzgfxMr_wIp4autBF_0hte/view?usp=sharing, MCQS Unitwise|https://drive.google.com/file/d/1pjeW7QfcFKZ2YpLJDB1BqBJHnDpNq6x6/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1rQufWKrvfasnOGXp3D4EfZIQEt-HI3iF/view?usp=sharing"
Semester 1,Engineering Graphics and Design,"Lab Record|https://drive.google.com/file/d/1jzLgUVFKBLhE6RATAaG1LNDY6hRfoGi0/view?usp=sharing"
Semester 1,Programming for Problem Solving,"ELAB|https://drive.google.com/file/d/1z9dRcr5ArNhkIS7Arud8BtkHi1sespQE/view?usp=sharing, Unit 1|https://drive.google.com/file/d/1giRnbNaTdP43CJu-hToIiv3l_4R6-vdd/view?usp=sharing, Unit 2|https://drive.google.com/file/d/1IQEYDX-pH-tsgeke6bMaf9N-K59WQ2oF/view?usp=sharing, Unit 3|https://drive.google.com/file/d/1AsZSIfmu7uk5Y10H-wlwgHBApZiqruHD/view?usp=sharing, Unit 4|https://drive.google.com/file/d/1xCnfGI5UqD6AJt9o3QuzWsRJIqxaMt4D/view?usp=sharing, Unit 5|https://drive.google.com/file/d/1Pv2QdJiLGDTnLIaXA5Nrb5YcytKQ9pWd/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1yGFKZ4Bo3FcSBAyWKYL7T4KY_xE6SIRl/view?usp=sharing,2023_JULY|https://drive.google.com/file/d/1-p-B1z_lGzfITWBAByXb5xxMh0B6aR1K/view?usp=sharing,2023_JUNE|https://drive.google.com/file/d/1eWPrdOzO2OzJ7frYds-LiVpfwhoFpRO4/view?usp=sharing,2024_JAN|https://drive.google.com/file/d/1VGs9HjuveUlFVhvZcPQm3fBxx8UecVi6/view?usp=sharing,2024_MAY|https://drive.google.com/file/d/1bFYcYfJkLjx7XLgvbOsripkHN19gLfOu/view?usp=sharing,Important Questions|https://drive.google.com/file/d/1icUR6CZlPiuSzpzdfBDi8CMY0E63geUo/view?usp=sharing,Unitwise MCQ|https://drive.google.com/file/d/1mtff468plpJfRPOxTB5TQWqbBDXc7v70/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1gw_vhXox5i2Z36UzldFFAvsBQyWuF3k4/view?usp=sharing"
Semester 1,Semiconductor Physics and Computational Methods,"Unit 1: Energy Bands In Solids|https://drive.google.com/file/d/1uuyQ2HBBSiyiLfze5OJhIKlhIL0zwji2/view?usp=sharing, Unit 2: Carrier Transport Mechanism In Semiconductors|https://drive.google.com/file/d/1YbzBtyUjft9zzJiMDKetVIfVd0rW0nEw/view?usp=sharing, Unit 3: Optoelectronic Properties Of Semiconductors|https://drive.google.com/file/d/16Bb9gRTwLuluw-SZLGaAQCZkDu3HDykc/view?usp=sharing, Unit 4: Electrical And Optical Measurementss|https://drive.google.com/file/d/11BGXFw-IpiGi82vySavnjrIajjewb-Ih/view?usp=sharing, Unit 5: Low Dimensional Semiconductor Materials|https://drive.google.com/file/d/1q93mdZG7E2e491w7oArykm7snjbU-kDe/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1-fCFQ8Bn97i_Qf7BrtIGQ6mT-cNIg6kv/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1HvbNcEAXCdny3Y1j3c88-3a5QxBWFQow/view?usp=sharing, 2024_JAN|https://drive.google.com/file/d/1qyyzzyt9YQZvhIJYQHQXWuvckKtX8Oel/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1HOKiZe1va7TsGJYJJSmmi1JcWoRQMb5k/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1QyrVrXBv-YiJR1o6kgSH3XNo48S137_8/view?usp=sharing"
Semester 2,Advance Calculus and Complex Analysis,"Unit 1-2|https://drive.google.com/file/d/19yoXDPYeTgVUvEHNHBH2NAcw5EUAwe6j/view?usp=sharing, Unit 1: Integral Calculus|https://drive.google.com/file/d/1eQzKkDHItg2qUnDTWIVATSJmPxLWExPo/view?usp=sharing, Unit 2: Vector Calculus|https://drive.google.com/file/d/1FK3Jd62FRnhTgD8JVvnxFPO-mEs49ydn/view?usp=sharing, Unit 3-4-5|https://drive.google.com/file/d/1A-W7Z2syLSeB4e7Z7w6V1e6-9WgomYg8/view?usp=sharing, Unit 4-5|https://drive.google.com/file/d/1gX5lMNbcWFW2LGI3sVRLLcxi8TrbUHjO/view?usp=sharing","2023_JULY|https://drive.google.com/file/d/11_AfVH_B-sY6lV8CgRK2MLpN_NMYRTaJ/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1PoPUhjUmOcznmP2CXqNxDQNs_AUDJLoW/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1phNlvn_CdSqnK6LBf10FDE-GP1Tiy7_x/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1VenB826vQ0Ro8mfyuKi3BxBAEsXUI5J9/view?usp=sharing"
Semester 2,Chemistry,"Unit 1: Periodic Properties|https://drive.google.com/file/d/1LO6MClyPK-BWoqYNWjy_FPW50KAVdULh/view?usp=sharing, Unit 2: Use of free energy in chemical equilibria|https://drive.google.com/file/d/1py82PfyCxShDEQoUFGiM2_3XCFMQHq7S/view?usp=sharing, Unit 3: Stereochemistry and Organic reactions|https://drive.google.com/file/d/1CnMudtvgKPO5cd8MrAxL_eMf24iyHXgX/view?usp=sharing, Unit 4: Polymers|https://drive.google.com/file/d/1Z2wqbUHau4Fxu9JG6E8M6eT1M5fhWSzR/view?usp=sharing, Unit 5: Advanced Engineering Materials|https://drive.google.com/file/d/1kuIMrl44Cof0MeZVqJmiefsEyTSzSc0r/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1J3YbpfL_7wXjicSkQieQJ86KI4P-JKHP/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1ry8DJl6kaGwggkp0r1RcAgIiJkCHKt9N/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1avnfhYKKXObs7MlJX6F9UthCyvXxqct7/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1Ee7Ws39iCxlVBuyKD0Mnw2L1zNJ03clw/view?usp=sharing"
Semester 2,Chinese,"Textbook|https://drive.google.com/file/d/164zI5qThfXERHtY1iI677wG1b3b6qHDm/view?usp=sharing","2023_MAY|https://drive.google.com/file/d/1Zd5l6CJH7lBkDBiwFXNey8peF7H0Dw6D/view?usp=sharing"
Semester 2,French,"Textbook|https://drive.google.com/file/d/10QAaFykjhOGuDjxzuJbuHNsqK24PsbEv/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1z5kvgF0Hi6C188Bzb2eGUJ_WGcqMz6M_/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1zNuWrCsf4U2q2I6mIAJNqZ4YWEQB9qMz/view?usp=sharing, Combined PYQs|https://drive.google.com/file/d/1GlcfORUgAckUb7pYan8icj2ZsYQBnj9e/view?usp=sharing"
Semester 2,German,"Textbook|https://drive.google.com/file/d/1cBRoCAAIJhcNwPI_oaiTpb-KYWkrqblr/view?usp=sharing","2023_DEC|https://drive.google.com/file/d/1THN2g01DSUYza2zBYYUa4Gemz1BcJN5a/view?usp=sharing, 2023_JAN|https://drive.google.com/file/d/1nYCdkyI4udNhE0M_wUAYHi9tclv45XXu/view?usp=sharing, 2023_JULY|https://drive.google.com/file/d/1oGWIGVSWHuxSSPciMfTlnAJk7jWfetDC/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1gyOYYNorRo_p0F4_aM2JqA_8YRW-m3rd/view?usp=sharing, 2024_JAN|https://drive.google.com/file/d/152SZbX-_kBZz4J5rYGos6kbVH1IK13ip/view?usp=sharing"
Semester 2,Introduction to Computational Biology,"Unit 1: Cell and evolution|https://docs.google.com/presentation/d/1x4TEnEzAjknU6opme8wO3W36cz0V_zpN/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 2: Basics in biochemistry|https://docs.google.com/presentation/d/1BWgV89ExFPLdivA74mDFAiKbu0U4rSqL/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 3: Structure Biology|https://docs.google.com/presentation/d/1cHts9SUWwEbEM7ZR-r3kpom7v9-vapUP/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 4: Neurobiology|https://docs.google.com/presentation/d/1q82aO6GNjibl2LfjZJ_GnjXfnNcNhwn0/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true, Unit 5: Immunobiology|https://docs.google.com/presentation/d/1ZPpxnzx5mHa0y3EWorvnXF7MbZKjlHnJ/edit?usp=sharing&ouid=103602801920640205189&rtpof=true&sd=true","2023_JAN|https://drive.google.com/file/d/1m9OjajkVj0Z8VTANuaiWTJFv_DqovvT_/view?usp=sharing, 2023_JUNE|https://drive.google.com/file/d/1Jev899Eu5FmgJH-HhRf0QlbnpH5_Vdnr/view?usp=sharing, 2024_JAN|https://drive.google.com/file/d/18KBhliPSl0rEOq-umKFJxBpw1Z1Npy_c/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1zN1hn5egmZt2bIBXXBzCZ_a3ztGv6hPa/view?usp=sharing, 2024_NOV|https://drive.google.com/file/d/1S2WnXqsq723gzPlWV_-3yfrJGYagL_p-/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1MaasILdVQsjLaqb9IOsQH9ZDOHwn9hNH/view?usp=sharing"
Semester 2,Japanese,"Textbook|https://drive.google.com/file/d/14c7ihTxzQ6yWUN-fG5NEiXKZ2fH6Z-5R/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1eXGxKAEREPbNABFk6kRszQY_6ZtGCEV-/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1kEIPHLykdihk9ieCZsZLN-2T3rTWnGs8/view?usp=sharing"
Semester 2,Korean,"Textbook|https://drive.google.com/file/d/1wW7itCdew50lr7fe86pOLnu6OZktXMYz/view?usp=sharing","2023_DEC|https://drive.google.com/file/d/1w-advz45IuyoCY0VfrEKeIK5XJi2eT51/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1CK63ogbNVB3tFE0O9Th5uISLykOvENXq/view?usp=sharing"
Semester 2,Object Oriented Design and Programming,"Unit 1: Introduction to OOPS|https://drive.google.com/file/d/1G9RXeSPDhOTzfYNWo5ygVD3adR8wI_TT/view?usp=sharing, Unit 2: Methods and Polymorphism|https://drive.google.com/file/d/1GoVzutFm5vz0NAufqYRknLMhwDtydGXE/view?usp=sharing, Unit 3: Inheritance|https://drive.google.com/file/d/1azofuvilcSg6sHYp5RzT3G6TfEYIFhtU/view?usp=sharing, Unit 4: Generic Programming|https://drive.google.com/file/d/1ougmELafTJX0QU6YLp2Z_I9em9w89gS8/view?usp=sharing, Unit 5: Standard Template Library|https://drive.google.com/file/d/1qeJ2mmSi0t0c1X_TCs099Erl9lQ12JrJ/view?usp=sharing","2022_DEC|https://drive.google.com/file/d/13eHFH8Hv4J_NgNyNhCoeqAzxLYwlwPlz/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1oPQhiynasCfUIAZoHtrH3KX-nz-Fgtvq/view?usp=sharing, Important Questions|https://drive.google.com/file/d/1ABZzO0a7syquiZdPahEtIqBss_SZsP2V/view?usp=sharing, MCQs Unitwise|https://drive.google.com/file/d/150L8w779mOdxzhGgI7F-oOiGgACrQWID/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1_5cptUYeiawAkR5dRGiBHMdpn7X1DhlU/view?usp=sharing"
Semester 2,Philosophy of Engineering,"Unit 1: Introduction to Philosophy of Engineering|https://drive.google.com/file/d/1W55nxyXhM5_jbyW_7mTZFce2rKErfi1e/view?usp=sharing, CUnit 2: Ontology of Engineering|https://drive.google.com/file/d/1PzwhrivaIhQTQSfWHFQNrFgxmZx3JYrm/view?usp=sharing, Unit 3: Epistemology of Engineering|https://drive.google.com/file/d/15N9I9kNiKhQKWnNTRy3LbKoPjujI6XWd/view?usp=sharing, Unit 4: Methodology of Engineering|https://drive.google.com/file/d/1CLh9-nd_cAwcSXQ11WyXURJHCoMUw5EK/view?usp=sharing, Unit 5: Axiology of Engineering|https://drive.google.com/file/d/1XiWp6OM5glToPOGeEB-8uZzp5y2Y3Gx7/view?usp=sharing","2023_DEC|https://drive.google.com/file/d/1i9_Hy5bXUVWB0eRz22IxIpliDrIMulWk/view?usp=sharing, 2023_JAN|https://drive.google.com/file/d/1h_BtyNp33VQDnuZUzYornZnlUUvCwdzb/view?usp=sharing, 2023_JULY|https://drive.google.com/file/d/1BoMubqhUERCH75a8_7KprXKPhlSR_jU8/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1cXiFuVw3h0ZM0Pv_K2JWHiO96fNvzdXe/view?usp=sharing, 2024_JAN|https://drive.google.com/file/d/1i7PlIiigOM090J2pPY3Pz7ewq4SpaS7s/view?usp=sharing, 2024_MAY|https://drive.google.com/file/d/1CxYla0mBYF4XoyLcOPppuF2WvN5JN98C/view?usp=sharing","Syllabus|https://drive.google.com/file/d/1IZD4jYEsegG92Uyu4Ue6C1pm8XTvh_vS/view?usp=sharing"
Semester 2,Spanish,"Textbook|https://drive.google.com/file/d/1b437cqvZPf0lSFF6Fiktsd1HYO4N0m1P/view?usp=sharing","2023_JAN|https://drive.google.com/file/d/1RTqjHfAsDzlIGWnTB5lG-PW1iusFRp6r/view?usp=sharing, 2023_MAY|https://drive.google.com/file/d/1vjm0cyrjvO5ADGvFUs6a4rDX5k3wm_bh/view?usp=sharing"
